"term","ontology","ID","Description","total_sig","up_count","down_count","sig_count","consensus"
"BP: ERK1 and ERK2 cascade","BP","GO:0070371","ERK1 and ERK2 cascade",10,6,4,10,"mixed"
"BP: G2/M transition of mitotic cell cycle","BP","GO:0000086","G2/M transition of mitotic cell cycle",10,3,7,10,"mixed"
"BP: RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",10,3,7,10,"mixed"
"BP: actin filament bundle assembly","BP","GO:0051017","actin filament bundle assembly",10,6,4,10,"mixed"
"BP: actin filament bundle organization","BP","GO:0061572","actin filament bundle organization",10,6,4,10,"mixed"
"BP: actin filament-based movement","BP","GO:0030048","actin filament-based movement",10,6,4,10,"mixed"
"BP: aerobic electron transport chain","BP","GO:0019646","aerobic electron transport chain",10,4,6,10,"mixed"
"BP: ameboidal-type cell migration","BP","GO:0001667","ameboidal-type cell migration",10,6,4,10,"mixed"
"BP: anatomical structure homeostasis","BP","GO:0060249","anatomical structure homeostasis",10,6,4,10,"mixed"
"BP: antigen processing and presentation","BP","GO:0019882","antigen processing and presentation",10,5,5,10,"mixed"
