dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_CNS,LINC02200,LINC02200,1,IR,0.21246666666666664,2.096264768561041e-6
Lai_CNS,PTOV1,PTOV1,2,IR; PTC,0.18196666666666667,2.2572381041499226e-6
Lai_CNS,EMC1,EMC1,1,PTC,0.1593,2.3501294688362133e-6
Lai_CNS,IGSF3,IGSF3,3,codingPotential; domain_identified; signal_peptide_identified,0.2962,4.19905649033419e-6
Lai_CNS,TERF1,TERF1,2,codingPotential; domain_identified,0.22740000000000005,4.735281467986013e-6
Lai_CNS,NUP214,NUP214,1,IR,0.11766666666666667,4.820004367477737e-6
Lai_CNS,PLAT,PLAT,3,codingPotential; domain_identified; signal_peptide_identified,0.18543333333333334,6.128963051745152e-6
Lai_CNS,SDSL,SDSL,2,codingPotential; domain_identified,0.5485,7.152943130070172e-6
Lai_CNS,NEDD1,NEDD1,2,codingPotential; domain_identified,0.11466666666666667,8.00812141743433e-6
Lai_CNS,COQ2,COQ2,2,codingPotential; domain_identified,0.18716666666666665,8.524457240015893e-6
Lai_CNS,STAT2,STAT2,2,IR; PTC,0.12106666666666667,8.524457240015893e-6
Lai_CNS,TTC14,TTC14,4,codingPotential; domain_identified; IR; PTC,0.14916666666666667,9.313198536331894e-6
Lai_CNS,MSI2,MSI2,2,codingPotential; domain_identified,0.14706666666666668,9.604401893391957e-6
Lai_CNS,MTMR10,MTMR10,1,PTC,0.12903333333333333,9.991190039532752e-6
Lai_CNS,SNAI3-AS1,SNAI3-AS1,1,IR,0.17613333333333334,1.00064008156971e-5
Lai_CNS,WASF3,WASF3,2,codingPotential; domain_identified,0.1729666666666666,1.3834457995957626e-5
Lai_CNS,ASS1,ASS1,2,codingPotential; domain_identified,0.4953666666666667,1.5839459850363184e-5
Lai_CNS,ATF3,ATF3,1,IR,0.2943,1.6728307764048824e-5
Lai_CNS,CLASRP,CLASRP,1,PTC,0.1367,2.009941799789872e-5
Lai_CNS,PCDHB2,PCDHB2,1,IR,0.17249999999999988,2.4395419256208156e-5
Lai_CNS,VPS53,VPS53,1,PTC,0.12663333333333332,2.4395419256208156e-5
Lai_CNS,SLC44A1,SLC44A1,1,IR,0.24296666666666666,2.5093379503502122e-5
Lai_CNS,TP53BP1,TP53BP1,2,codingPotential; IR,0.10333333333333333,2.991859480386647e-5
Lai_CNS,BCR,BCR,1,IR,0.14706666666666665,3.9375593147647354e-5
Lai_CNS,AVL9,AVL9,1,codingPotential,0.10343333333333334,4.284691534584815e-5
Lai_CNS,RFNG,RFNG,1,IR,0.16866666666666666,4.5011357143795664e-5
Lai_CNS,PTPN2,PTPN2,1,PTC,0.1073,5.487728934117808e-5
Lai_CNS,PELO,PELO,2,codingPotential; domain_identified,0.2635,5.726867393071118e-5
Lai_CNS,KRBOX5,KRBOX5,2,IR; PTC,0.1119,5.782235065324765e-5
Lai_CNS,KIF1B,KIF1B,2,codingPotential; domain_identified,0.11750000000000002,6.895154427656777e-5
Lai_CNS,MANEAL,MANEAL,3,codingPotential; domain_identified; IR,0.20426666666666668,6.987160188125169e-5
Lai_CNS,PVR,PVR,1,PTC,0.20186666666666667,7.598875100147763e-5
Lai_CNS,WIPF2,WIPF2,1,PTC,0.12756666666666666,7.731112711943539e-5
Lai_CNS,PKIB,PKIB,2,codingPotential; domain_identified,0.3414,7.895037550849114e-5
Lai_CNS,NAT10,NAT10,3,codingPotential; domain_identified; IR,0.2661,8.22810209727839e-5
Lai_CNS,PSMC3IP,PSMC3IP,1,IR,0.22153333333333325,1.1001086751392909e-4
Lai_CNS,SMARCD1,SMARCD1,1,IR,0.1784333333333334,1.1036811191198362e-4
Lai_CNS,PCDHAC2,PCDHAC2,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.4308666666666667,1.245880999863054e-4
Lai_CNS,NEMP1,NEMP1,3,codingPotential; domain_identified; signal_peptide_identified,0.24316666666666664,1.385960892610173e-4
Lai_CNS,INTS14,INTS14,3,codingPotential; domain_identified; PTC,0.2956333333333333,1.4788039241825585e-4
Lai_CNS,MRC2,MRC2,3,codingPotential; domain_identified; signal_peptide_identified,0.11606666666666665,1.5337684472357797e-4
Lai_CNS,RBMS2,RBMS2,1,PTC,0.12229999999999996,1.744763067702417e-4
Lai_CNS,PNPLA6,PNPLA6,1,IR,0.18316666666666664,1.9043092631155763e-4
Lai_CNS,ARG2,ARG2,2,codingPotential; domain_identified,0.33653333333333335,2.0019205315698936e-4
Lai_CNS,TMEM131L,TMEM131L,3,codingPotential; domain_identified; signal_peptide_identified,0.26980000000000004,2.102133156716831e-4
Lai_CNS,IFT122,IFT122,2,codingPotential; domain_identified,0.28923333333333334,2.1498687252223945e-4
Lai_CNS,ERCC3,ERCC3,2,codingPotential; PTC,0.20563333333333333,2.1757778224913357e-4
Lai_CNS,RSBN1L,RSBN1L,1,IR,0.12650000000000006,2.5595883234796283e-4
Lai_CNS,DLGAP1-AS1,DLGAP1-AS1,1,IR,0.23746666666666666,2.5861474402938297e-4
Lai_CNS,TSSC4,TSSC4,1,IR,0.17033333333333334,3.0205517909896945e-4
Lai_CNS,ANKRD13B,ANKRD13B,2,IR; PTC,0.2407333333333333,3.047787400763653e-4
Lai_CNS,ZNF680,ZNF680,2,codingPotential; domain_identified,0.17903333333333327,3.171666129138167e-4
Lai_CNS,MCC,MCC,2,codingPotential; domain_identified,0.12426666666666666,3.470746909078483e-4
Lai_CNS,TBCE,TBCE,2,IR; PTC,0.5318,3.764802682373085e-4
Lai_CNS,NOPCHAP1,NOPCHAP1,2,IR; PTC,0.1481,4.4711190026864195e-4
